City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
Port Arthur,Texas,54500,54905,54563,54719,54529,55378,55566,55433,54889,54280,TX
Little Elm,Texas,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126,TX
Wylie,Texas,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067,TX
DeSoto,Texas,49344,50196,51216,51587,52046,52612,53088,53533,53254,52988,TX
Galveston,Texas,47793,47555,48100,48658,49251,49691,50186,50569,50396,50446,TX
Texas City,Texas,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094,TX
Phoenix,Arizona,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992,AZ
Tucson,Arizona,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073,AZ
Mesa,Arizona,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012,AZ
Chandler,Arizona,236454,236834,237660,239888,240888,243679,247845,253599,257186,261165,AZ
Scottsdale,Arizona,217638,220816,225191,228887,233949,241073,247953,251396,254479,258069,AZ
Gilbert town,Arizona,209493,211466,215916,221626,227308,232401,237139,242695,249914,254114,AZ
Glendale,Arizona,226236,229304,233588,236869,239964,243103,245903,247784,249955,252381,AZ
Tempe,Arizona,162323,164477,168549,170740,175636,179114,184877,185792,191746,195805,AZ
Peoria,Arizona,154846,155014,155326,156354,157770,160431,164212,168192,172263,175961,AZ
Surprise,Arizona,117643,119617,122266,125035,127880,130336,132846,134781,137717,141664,AZ
Yuma,Arizona,91328,94241,93701,92998,93624,94155,95259,96399,97648,98285,AZ
Avondale,Arizona,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931,AZ
Goodyear,Arizona,65502,66589,67822,70392,72346,74815,77412,79945,82873,86840,AZ
Buckeye,Arizona,51350,52486,54389,56603,59100,61633,64641,68534,74339,79620,AZ
Flagstaff,Arizona,66088,66071,67913,68090,68609,69966,71149,72037,73762,75038,AZ
Casa Grande,Arizona,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632,AZ
Lake Havasu City,Arizona,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865,AZ
Maricopa,Arizona,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127,AZ
Queen Creek town,Arizona,27058,27602,28148,30424,33011,35534,38850,43227,47123,50890,AZ
Philadelphia,Pennsylvania,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064,PA
Pittsburgh,Pennsylvania,305283,306012,306355,306902,305964,304070,304643,301494,300570,300286,PA
Allentown,Pennsylvania,118113,118782,118878,118826,119167,120071,120420,121047,121537,121442,PA
Erie,Pennsylvania,101719,101511,101290,100532,99714,99030,98211,97214,96298,95508,PA
Reading,Pennsylvania,88040,88195,88141,88264,88171,88047,88128,88134,88542,88375,PA
Scranton,Pennsylvania,76079,75926,76024,75831,75443,77149,77235,77214,77017,76653,PA
Bethlehem,Pennsylvania,74979,75061,75040,74852,74966,74966,75273,75546,75742,75815,PA
Lancaster,Pennsylvania,59277,59417,59406,59397,59411,59446,59486,59494,59407,59265,PA
Jacksonville,Florida,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507,FL
Miami,Florida,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963,FL
