City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Greeley, Colorado,93308,94466,95597,96848,99055,101763,104751,106780,107475,108649
Inglewood, California,109658,110501,110866,110954,110840,110693,110271,109907,109038,108151
Waterbury, Connecticut,110350,110074,110019,109733,109524,108993,108453,108277,108123,107568
League City, Texas,84096,86278,88242,90790,94121,97860,101669,104442,106005,107536
Santa Maria, California,99689,100293,101116,102057,103021,104462,105811,106298,107218,107263
Tyler, Texas,97140,98015,98941,99730,101557,102712,103904,104738,105668,106985
Davie town, Florida,92315,94455,95776,97599,99179,101229,103255,105136,106131,106306
Daly City, California,101262,102460,103915,104980,105887,106538,106882,106733,106869,106280
Boulder, Colorado,97752,100137,101160,102719,104451,106742,107128,106447,106008,105673
Allen, Texas,84921,87680,89812,92173,94215,98344,99742,101214,103577,105623
West Covina, California,106123,106721,107082,107348,107447,107540,107437,106942,105964,105101
Sparks, Nevada,91237,91616,92406,93317,94561,95759,98068,100048,103979,105006
Wichita Falls, Texas,104790,103966,104628,104948,105208,103892,104075,104325,104356,104683
Green Bay, Wisconsin,103946,104302,104621,104593,104635,104792,104721,104977,104833,104578
San Mateo, California,97383,98518,99816,101323,102695,103509,104357,104389,104885,104430
Norwalk, California,105544,105903,105976,106122,106189,106237,105844,105466,104798,103949
Rialto, California,99329,100563,101278,101547,102031,102485,102896,103234,103232,103526
Las Cruces, New Mexico,98284,100212,101045,101238,101192,101113,101313,101963,102812,103432
Chico, California,86783,87269,87915,88362,89491,90369,91564,93066,94342,103301
El Cajon, California,99823,100795,101537,102303,102789,103230,103527,103468,103041,102708
Burbank, California,103351,103732,104077,104355,104405,104472,104097,104174,103349,102511
South Bend, Indiana,101197,101224,101056,101226,101489,101687,101996,102021,101971,102026
Renton, Washington,92351,94131,95941,97090,98588,100455,101513,101981,101787,101751
Vista, California,93401,94355,95307,96211,96999,99623,100746,100740,100784,101638
Davenport, Iowa,99678,100302,101165,102053,102471,102534,102456,102310,101918,101590
Edinburg, Texas,82504,84796,86263,88355,90342,91780,92776,95427,98036,101170
Tuscaloosa, Alabama,90456,90913,92307,93886,95688,97576,98428,99629,100190,101129
Carmel, Indiana,84508,86508,88566,90947,91569,92998,96114,97400,99143,101068
Spokane Valley, Washington,90047,90665,90659,91240,92569,94163,95652,97570,99308,101060
San Angelo, Texas,93626,94532,95841,97057,98567,99704,99790,99678,100009,101004
Vacaville, California,92557,93225,93660,94023,95394,96224,97994,99604,99949,100670
Bend, Oregon,76663,77575,78617,80906,83526,86277,90665,94557,97620,100421
Kenosha, Wisconsin,99397,99560,99859,99704,99728,99479,99388,99785,99908,99944
Boca Raton, Florida,85158,86460,87646,89689,91276,93498,96427,98236,99351,99805
Lee's Summit, Missouri,91526,91920,92376,92968,93727,94871,96034,97169,98522,99357
Nampa, Idaho,81998,82716,83941,86377,87894,89527,91114,93707,96213,99277
Rio Rancho, New Mexico,87977,89499,90444,91334,91963,93116,94511,96285,97982,99178
South Fulton, Georgia,86142,88696,91019,91757,92494,93516,95264,96078,97278,99155
Roanoke, Virginia,96720,96782,98011,98849,99427,99669,99337,98986,99009,99143
Beaverton, Oregon,90100,91569,92558,93279,94714,95863,97738,97824,98775,99037
Yuma, Arizona,91328,94241,93701,92998,93624,94155,95259,96399,97648,98285
